"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0012364,4,nm0391474,actress,
tt0012364,5,nm0481248,writer,novel
tt0012364,6,nm0005748,cinematographer,
tt0012364,7,nm0782943,actress,
tt0012364,8,nm0526479,actress,
tt0012364,9,nm0917912,actor,
tt0012494,10,nm0771954,composer,
tt0012494,1,nm0324553,actor,
tt0012494,2,nm0196820,actress,
tt0012494,3,nm0418079,actor,
tt0012494,4,nm0827905,actor,
tt0012494,5,nm0000485,director,
tt0012494,6,nm0902376,writer,
tt0012494,7,nm0690143,producer,producer
tt0012494,8,nm0005959,composer,
tt0012494,9,nm0006272,composer,
tt0012532,10,nm0484266,composer,
tt0012532,1,nm0001273,actress,
tt0012532,2,nm0321088,actress,
tt0012532,3,nm0771584,actor,
tt0012532,4,nm0521310,actor,
tt0012532,5,nm0000428,director,
tt0012532,6,nm0257866,writer,"novel ""Les deux orphelines"""
tt0012532,7,nm0180077,writer,"novel ""Les deux orphelines"""
tt0012532,8,nm0003668,composer,
tt0012532,9,nm0332045,composer,
tt0012642,10,nm1084708,producer,producer
tt0012642,1,nm0516001,actor,
tt0012642,2,nm0205192,actress,
tt0012642,3,nm0949927,actor,
tt0012642,4,nm0840078,actor,
tt0012642,5,nm0628345,director,
tt0012642,6,nm0730018,writer,story
tt0012642,7,nm0853130,writer,story
tt0012642,8,nm0369841,writer,story
tt0012642,9,nm0907778,writer,titles
tt0012651,10,nm0005922,cinematographer,
tt0012651,1,nm0466232,actor,
tt0012651,2,nm0477519,actress,
tt0012651,3,nm0576464,actor,
tt0012651,4,nm0367111,actor,
tt0012651,5,nm0003638,director,
tt0012651,6,nm0833695,writer,novella
tt0012651,7,nm0562346,writer,adaptation
tt0012651,8,nm0690143,producer,producer
tt0012651,9,nm0778102,cinematographer,
tt0012675,10,nm0124918,actor,
tt0012675,1,nm0884388,actor,
tt0012675,2,nm0043969,actress,
tt0012675,3,nm0589279,actress,
tt0012675,4,nm0905729,actor,
tt0012675,5,nm0577654,director,
tt0012675,6,nm0401423,writer,from the novel by
tt0012675,7,nm0441601,writer,adaptation
tt0012675,8,nm0069197,composer,
tt0012675,9,nm0551236,cinematographer,
tt0012752,10,nm0249186,cinematographer,
tt0012752,1,nm0001196,actor,
tt0012752,2,nm0207637,actor,
tt0012752,3,nm0797094,actor,
tt0012752,4,nm0657874,actor,
tt0012752,5,nm0629243,director,
tt0012752,6,nm0241416,writer,"by: ""The Three Musketeers"""
tt0012752,7,nm0461241,writer,adapted by
tt0012752,8,nm0940689,writer,scenario editor
tt0012752,9,nm0332045,composer,
tt0012763,10,nm0543836,editor,
tt0012763,1,nm0001932,actor,
tt0012763,2,nm0401368,actress,
tt0012763,3,nm0507861,actor,
tt0012763,4,nm0868458,actor,
tt0012763,5,nm0454771,director,
tt0012763,6,nm0378947,writer,novel
tt0012763,7,nm0332539,writer,
tt0012763,8,nm0004592,composer,
tt0012763,9,nm0007239,cinematographer,
tt0012938,10,nm0005720,cinematographer,
tt0012938,1,nm0841797,actress,
tt0012938,2,nm0884388,actor,
tt0012938,3,nm0152362,actress,
tt0012938,4,nm0290066,actor,
tt0012938,5,nm0939992,director,
tt0012938,6,nm0323325,writer,based on the novel by
tt0012938,7,nm0192325,writer,scenario
tt0012938,8,nm0489690,producer,producer
tt0012938,9,nm0904087,composer,
tt0012952,10,nm0005931,cinematographer,
tt0012952,1,nm0884388,actor,
tt0012952,2,nm0497759,actress,
tt0012952,3,nm0620519,actress,
tt0012952,4,nm0275941,actor,
tt0012952,5,nm0629243,director,
tt0012952,6,nm0002188,director,
tt0012952,7,nm0087658,writer,from the novel by
tt0012952,8,nm0193704,writer,and the play by
tt0012952,9,nm0558923,writer,written for the screen by
tt0013075,10,nm0188274,writer,
tt0013075,1,nm0516001,actor,
tt0013075,2,nm0205192,actress,
tt0013075,3,nm0697674,actor,
tt0013075,4,nm0562805,actor,
tt0013075,5,nm0628345,director,
tt0013075,6,nm0853130,director,
tt0013075,7,nm0730018,writer,story
tt0013075,8,nm0369841,writer,story
tt0013075,9,nm0907778,writer,titles
tt0013086,10,nm0004592,composer,
tt0013086,1,nm0459030,actor,
tt0013086,2,nm0250790,actress,
tt0013086,3,nm0919684,actress,
tt0013086,4,nm0002154,actor,
tt0013086,5,nm0000485,director,
tt0013086,6,nm0415167,writer,novel
tt0013086,7,nm0902376,writer,screenplay
tt0013086,8,nm0690143,producer,producer
tt0013086,9,nm0253301,composer,
tt0013140,10,nm0200125,cinematographer,
tt0013140,1,nm0160129,actor,
tt0013140,2,nm0243323,actress,
tt0013140,3,nm0313532,actress,
tt0013140,4,nm0123994,actress,
tt0013140,5,nm0002233,director,
tt0013140,6,nm0014703,writer,titles
tt0013140,7,nm0031033,writer,titles
tt0013140,8,nm4622229,composer,
tt0013140,9,nm0739146,composer,
tt0013201,10,nm0188274,writer,
tt0013201,1,nm0516001,actor,
tt0013201,2,nm0205192,actress,
tt0013201,3,nm0870083,actress,
tt0013201,4,nm0828897,actor,
tt0013201,5,nm0628345,director,
tt0013201,6,nm0730018,writer,story
tt0013201,7,nm0853130,writer,story
tt0013201,8,nm0369841,writer,story
tt0013201,9,nm0907778,writer,titles
tt0013257,10,nm0002727,composer,
