"('mid',)","('pid',)","('name',)"
tt0012642,nm0516001,The Boy
tt0012642,nm0205192,The Girl
tt0012642,nm0949927,The Rowdy Element
tt0012642,nm0840078,Maharajah of Khairpura-Bhandanna
tt0012651,nm0466232,von Vogelschrey - Schlossherr auf Vogeloed
tt0012651,nm0477519,Centa V. Vogelschrey - von Vogelschrey's Frau
tt0012651,nm0576464,Graf Johann Oetsch
tt0012651,nm0367111,Graf Peter Paul Oetsch
tt0012675,nm0124918,Sir Aubrey Mayo
tt0012675,nm0884388,The Sheik - Ahmed Ben Hassan
tt0012675,nm0043969,Lady Diana Mayo
tt0012675,nm0589279,Zilah - A Marriage Market Prospect
tt0012675,nm0905729,Yousaef - Tribal Chieftain
tt0012752,nm0001196,D'Artagnan
tt0012752,nm0207637,Cardinal Richelieu
tt0012752,nm0797094,Porthos
tt0012752,nm0657874,Aramis
tt0012763,nm0001932,David Kinemon
tt0012763,nm0401368,Esther Hatburn
tt0012763,nm0507861,Iscah Hatburn
tt0012763,nm0868458,Luke Hatburn
tt0012938,nm0841797,Theodora Fitzgerald
tt0012938,nm0884388,Lord Hector Bracondale
tt0012938,nm0152362,Lady Bracondale
tt0012938,nm0290066,Captain Fitzgerald
tt0012952,nm0884388,Juan Gallardo
tt0012952,nm0497759,Carmen
tt0012952,nm0620519,Doña Sol
tt0012952,nm0275941,El Nacional
tt0013075,nm0516001,Dr. 'Jack' Jackson
tt0013075,nm0205192,The Sick-Little-Well-Girl
tt0013075,nm0697674,Charles F. Haskell - The Girl's Father
tt0013075,nm0562805,Dr. Ludwig von Saulsbourg
tt0013086,nm0459030,Dr. Mabuse
tt0013086,nm0250790,"Cara Carozza, the dancer"
tt0013086,nm0919684,Countess Dusy Told
tt0013086,nm0002154,Count Told
tt0013086,nm0002154,Richard Fleury - US version
tt0013140,nm0160129,Andrew J. Hughes - U.S. Special-Envoy to Monaco
tt0013140,nm0243323,Helen Hughes
tt0013140,nm0313532,Princess Olga Petchnikoff
tt0013140,nm0123994,Princess Vera Petchnikoff
tt0013201,nm0516001,Grandma's Boy
tt0013201,nm0205192,His Girl
tt0013201,nm0870083,His Grandma
tt0013201,nm0828897,Harold's Rival
tt0013257,nm0159725,Djævlen
tt0013257,nm0159725,The Devil
tt0013257,nm0159770,En ældre bondekone
tt0013257,nm0159770,Older Farm Lady
tt0013257,nm0669922,Heksen
tt0013257,nm0669922,The Witch
tt0013257,nm0690702,Nonne
tt0013257,nm0690702,Nun
tt0013427,nm1354245,Nanook
tt0013427,nm0638725,Nanook's Wife - the Smiling One
tt0013427,nm0192066,Cunayou -Nanook's Daughter
tt0013427,nm0020180,Allegoo - Nanook's Son
tt0013442,nm0775180,Graf Orlok
tt0013442,nm0334603,Knock - ein Häusermakler
tt0013442,nm0903194,Hutter
tt0013442,nm0775659,Ellen - seine Frau
tt0013496,nm0002154,Lorenz Lubota
tt0013496,nm0723801,Lubotas Mutter
tt0013496,nm0723801,Lubota's Mother
tt0013496,nm0250790,Melanie Lubota
tt0013496,nm0903145,Hugo Lubota
tt0013556,nm0001196,The Earl of Huntingdon
tt0013556,nm0001196,Afterwards Robin Hood
tt0013556,nm0000891,Richard the Lion-Hearted
tt0013556,nm0208659,Prince John
tt0013556,nm0071746,Lady Marian Fitzwalter
tt0013750,nm0203836,Mary Tudor
tt0013750,nm0822477,Charles Brandon
tt0013750,nm0362361,Henry VIII
tt0013750,nm0175583,Queen Catherine
tt0013933,nm0537222,Jean
tt0013933,nm0544539,Marie
tt0013933,nm0885965,Little Paul
tt0013933,nm0070762,Mr. Hochon
tt0014029,nm0635667,Sue Graham
tt0014029,nm0336339,Dave Giddings
tt0014029,nm0629589,Pa Graham
tt0014029,nm0230188,Ma Graham
tt0014109,nm0361319,Gösta Berling
tt0014109,nm0774563,Sintram
tt0014109,nm0147803,Märtha Dohna
tt0014109,nm0617527,Ebba Dohna
tt0014142,nm0151606,Quasimodo
tt0014142,nm0589105,Esmeralda
tt0014142,nm0449908,Phoebus de Chateaupers
tt0014142,nm0504476,Madame de Condelaurier
tt0014205,nm0203836,Patricia O'Day
tt0014205,nm0001230,Larry Delevan
tt0014205,nm0285202,Robert Fulton
tt0014205,nm0358029,Washington Irving
tt0014341,nm0000036,Willie McKay - 21 Years Old
tt0014341,nm0848231,Virginia Canfield
tt0014341,nm0444172,The Engineer
tt0014341,nm0731247,Joseph Canfield
tt0014358,nm0881022,Small Deacon
tt0014358,nm0000122,The Pilgrim
tt0014358,nm0000122,Lefty Lombard
tt0014358,nm0701012,The Girl
tt0014358,nm0152260,Eloper
tt0014358,nm0152260,Train Conductor
tt0014358,nm0152260,Little Boy's Father
tt0014358,nm0920323,Little Boy's Mother
tt0014358,nm0718466,Little Boy
tt0014358,nm0718469,Crook
tt0014358,nm0615306,Sheriff Bryan
tt0014358,nm0102901,Girl's Mother
tt0014358,nm0841501,Deacon Jones
tt0014417,nm0336414,Elie
tt0014417,nm0536252,Jacques de Hersan
tt0014417,nm0879412,Mâchefer
tt0014417,nm0786313,Sisif
tt0014429,nm0516001,Harold - The Boy
tt0014429,nm0205192,"Mildred, The Girl"
tt0014429,nm0835128,"Bill, The Pal"
tt0014429,nm0949927,The Law
tt0014532,nm0731623,Moses - The Lawgiver - Prologue
tt0014532,nm0211191,Rameses the Magnificent - Prologue
tt0014532,nm0852347,Miriam - The Sister of Moses - Prologue
tt0014532,nm0269671,The Wife of Pharaoh - Prologue
tt0014538,nm0000036,The Boy
tt0014538,nm0494993,The Girl
tt0014538,nm0000891,The Villain
tt0014538,nm0731247,The Girl's Father
tt0014586,nm0417837,Harun al Raschid
tt0014586,nm0891998,Ivan the Terrible
tt0014586,nm0470328,Jack the Ripper
tt0014586,nm0470328,Spring-Heeled Jack
tt0014586,nm0226189,The Poet
tt0014586,nm0226189,Assad the Baker
tt0014586,nm0226189,A Russian Prince
tt0014611,nm0516001,Harold Van Pelham
tt0014611,nm0707814,Harold's Nurse
tt0014611,nm0007539,Colosso
tt0014611,nm0397907,Mr. Pipps
tt0014624,nm0048798,Masseuse
tt0014624,nm0701012,Marie St. Clair
tt0014624,nm0312238,Marie's Step-Father
tt0014624,nm0588033,Jean Millet
tt0014624,nm0461438,Jean's Mother
tt0014624,nm0294058,Jean's Father
tt0014624,nm0579663,Pierre Revel
tt0014624,nm0607369,Fifi
tt0014624,nm0689748,Paulette
tt0014646,nm0813216,"Aelita, Queen of Mars"
tt0014646,nm0407970,Kravtsov - amateur sleuth
tt0014646,nm0874941,Engineer Los
tt0014646,nm0874941,Evguieni Spiridinov
tt0014646,nm0060693,"Gusev, Red Army Soldier"
tt0014945,nm0516001,The Poor Boy - Harold Meadows
tt0014945,nm0707814,The Rich Girl - Mary Buckingham
tt0014945,nm0200068,The Poor Man
tt0014945,nm0341134,The Rich Man
tt0014972,nm0151606,Paul Beaumont
tt0014972,nm0151606,HE
tt0014972,nm0790454,Consuelo
tt0014972,nm0318105,Bezano
tt0014972,nm0455246,Marie Beaumont
tt0015002,nm0516001,Hubby Harold
tt0015002,nm0707814,Wifey
tt0015002,nm0189684,Wifey's Mother - Mrs. Winnifred Ward Stokes
tt0015002,nm0828897,Wifey's Big Brother - Charley Stokes
tt0015016,nm0639563,Dave Brandon
tt0015016,nm0068705,Miriam Marsh
tt0015016,nm0119957,Abraham Lincoln
tt0015016,nm0149477,Jesson
tt0015064,nm0417837,Hotelportier
tt0015064,nm0217848,Seine Nichte [His Niece]
tt0015064,nm0384897,Ihr Bräutigam [Her Bridegroom]
tt0015064,nm0476130,Tante des Bräutigams [Bridegroom's Aunt]
tt0015116,nm0841797,Tessie McGuire
tt0015116,nm0601962,Jim Hogan
tt0015116,nm0850896,Pinkie Moran
tt0015116,nm0445246,Robert Brandt
tt0015119,nm0616729,Detective
tt0015119,nm0896538,Charlotte Braun
tt0015119,nm0089524,Dr. Franz Braun
tt0015119,nm0696679,Mizzi Stock
tt0015119,nm0354878,Dr. Gustav Mueller
tt0015119,nm0579663,Prof. Josef Stock
tt0015136,nm0805790,Eugène Michael
tt0015136,nm0159725,Claude Zoret
tt0015136,nm0339669,Fürstin Lucia Zamikoff
tt0015136,nm0615407,Herr Adelsskjold
tt0015163,nm0000036,Rollo Treadway
tt0015163,nm0570230,Betsy O'Brien
tt0015163,nm0089162,John O'Brien
tt0015163,nm0123548,Spy
tt0015174,nm0084430,Giselher
tt0015174,nm0778159,Kriemhild
tt0015174,nm0036459,Queen Ute
tt0015174,nm0519765,King Gunther
tt0015174,nm0611052,Gernot
tt0015175,nm0725332,Siegfried
tt0015175,nm0778159,Kriemhild
tt0015175,nm0519765,King Gunther
tt0015175,nm0036459,Queen Ute
tt0015202,nm0891998,Paul Orlac
tt0015202,nm0815054,Yvonne Orlac
tt0015202,nm0823731,Der alte Orlac
tt0015202,nm0039489,Der Diener
tt0015214,nm0553331,Bardin - le savant fou
tt0015214,nm0989809,Le détective
tt0015214,nm0699522,L'aviateur
tt0015214,nm0735029,Hesta - la passagère de l'avion
tt0015224,nm0111503,Peter Pan
tt0015224,nm0868458,Captain James Hook
tt0015224,nm0019419,Nana the Dog
tt0015224,nm0707803,Mrs. Darling
tt0015324,nm0000036,Projectionist
tt0015324,nm0000036,"Sherlock, Jr."
tt0015324,nm0570230,The Girl
tt0015324,nm0444172,The Girl's Father
tt0015324,nm0444172,Man on Film Screen
tt0015324,nm0175068,The Hired Man
tt0015324,nm0175068,The Butler
tt0015361,nm0017893,Factory Foreman
tt0015361,nm0795500,Police Spy
tt0015361,nm0327150,Worker
tt0015361,nm0412045,Chief of Police
tt0015400,nm0001196,The Thief of Bagdad
tt0015400,nm0426710,The Princess
tt0015400,nm0250366,The Thief's Evil Associate
tt0015400,nm0067634,The Holy Man
tt0015624,nm0318105,James Apperson
tt0015624,nm0012395,Melisande
tt0015624,nm0098376,Mr. Apperson
tt0015624,nm0568282,Mrs. Apperson
tt0015634,nm0318171,Martha Jane - Her Mother
tt0015634,nm0732079,Rev. Isaiah T. Jenkins
tt0015634,nm0732079,His Brother Sylvester
tt0015634,nm0737074,Speakeasy Proprietor
tt0015634,nm0155479,Yello-Curley' Hinds - the Phony Reverend's Former Jailmate
tt0015634,nm0018319,Deacon Simpkins - a Church Elder
tt0015634,nm0180394,Brother Amos - a Church Elder
tt0015634,nm0425645,'Sis' Caline - a Pious Lady
tt0015634,nm0732876,'Sis' Lucy - a Pious Lady
tt0015648,nm0031446,Grigory Vakulinchuk
tt0015648,nm0058290,Commander Golikov
tt0015648,nm0017893,Chief Officer Giliarovsky
tt0015648,nm0090434,Young Sailor Flogged While Sleeping
tt0015768,nm0583207,Viktor Frandsen - Finmekaniker
tt0015768,nm0391474,Ida - Hans Hystru
tt0015768,nm0625047,Karen - Deres Datter
tt0015768,nm0630927,Mads - Frandsens tidligere barnepige
tt0015772,nm0884388,Vladimir Dubrovsky
tt0015772,nm0126566,Mascha Troekouroff
tt0015772,nm0237571,The Czarina
tt0015772,nm0176302,Kuschka
tt0015841,nm0516001,Harold Lamb aka Speedy
tt0015841,nm0707814,Peggy
tt0015841,nm0070757,The College Cad
tt0015841,nm0026849,The College Hero
tt0015842,nm0003425,Maria Lechner
tt0015842,nm0001256,Greta Rumfort
tt0015842,nm0261626,Regina Rosenow
tt0015842,nm0470328,Metzger von Melchiorstrasse
tt0015863,nm0000036,Friendless
tt0015863,nm0874124,Owner of the Diamond Bar Ranch
tt0015863,nm0616762,His Daughter
tt0015863,nm0860617,The Foreman
tt0015864,nm1027682,Eskimo Child
tt0015864,nm0000122,The Lone Prospector
